Attendance_Rate,Grades,Distance_to_School,Socioeconomic_Status,Parent_Education_Level,School_Resources,Behavioral_Issues,Loan_Approval_Need,Priority_Score
50,62,8.0,Low,Bachelor's,Medium,Yes,High,39.0
96,60,3.2,Low,Postgraduate,Low,Yes,Medium,47.48
83,58,5.9,Middle,No High School,Medium,No,Low,52.51
81,87,11.4,Middle,Bachelor's,High,Yes,Medium,47.96
97,100,17.1,Low,High School,Low,No,Medium,72.39
74,58,19.0,Middle,High School,Low,No,Medium,38.5
89,75,17.3,Low,Bachelor's,Low,No,Medium,59.97
94,68,12.0,Low,No High School,Medium,No,Medium,69.2
50,99,25.5,Low,High School,Medium,Yes,Low,52.05
65,57,41.3,Middle,No High School,Medium,No,Low,43.17
88,41,14.0,Low,High School,Low,No,Medium,46.4
54,40,47.1,Middle,High School,Medium,No,Medium,27.49
71,86,43.7,Middle,Bachelor's,Low,No,Low,46.33
78,44,8.1,Middle,No High School,Low,No,High,40.19
52,59,39.3,Middle,High School,Medium,No,Low,35.27
61,50,28.7,Middle,No High School,High,No,Medium,40.43
75,81,28.3,Low,Bachelor's,High,Yes,Low,52.07
65,41,19.6,Low,Postgraduate,High,No,Low,43.94
100,42,25.1,High,Postgraduate,Low,No,High,39.29
86,62,19.9,Low,Bachelor's,Low,Yes,Low,43.61
71,94,27.0,Middle,Bachelor's,Medium,No,Medium,56.2
78,51,31.4,High,No High School,High,No,Low,45.66
63,59,33.7,Low,No High School,Low,Yes,Medium,39.13
77,44,26.6,Middle,High School,Low,No,High,33.04
54,76,36.1,Low,Bachelor's,Low,No,Low,47.99
96,77,7.1,Low,Postgraduate,Medium,No,High,68.89
98,69,10.6,Low,No High School,Low,No,Medium,65.94
79,48,40.9,Low,Postgraduate,Low,Yes,Medium,33.81
95,73,16.1,Middle,High School,Low,No,Medium,51.09
54,92,1.1,Middle,High School,Low,Yes,High,37.89
61,83,7.7,Middle,No High School,Medium,Yes,Low,45.73
65,74,11.2,Low,No High School,Low,No,Low,57.98
75,91,47.9,Low,High School,Medium,No,High,64.11
75,97,28.7,Middle,High School,Medium,No,Medium,58.43
97,61,46.6,Low,No High School,Medium,No,Low,63.84
70,83,28.8,High,High School,Low,No,Medium,46.32
88,63,24.0,Middle,Bachelor's,High,Yes,Medium,39.2
85,56,15.7,Middle,Bachelor's,Medium,Yes,Medium,36.33
82,49,30.3,High,Postgraduate,High,No,Low,41.17
79,69,7.0,Low,No High School,High,No,Medium,65.6
86,95,44.9,Middle,No High School,Low,Yes,Low,49.31
72,98,41.5,Low,Bachelor's,Low,No,Medium,61.65
59,85,15.9,High,High School,Low,Yes,High,35.11
54,62,47.6,Low,No High School,Medium,No,Medium,51.24
85,71,41.3,Middle,No High School,Low,No,Low,49.77
83,56,33.3,Middle,High School,Low,Yes,Low,28.97
80,89,6.1,Low,No High School,Low,No,Medium,68.99
59,90,23.9,Low,No High School,Low,Yes,Medium,51.31
68,56,25.3,Middle,No High School,Low,Yes,Low,30.27
81,53,11.6,Low,No High School,Low,No,Medium,54.34
50,48,4.0,Low,High School,Low,No,Low,38.8
54,79,38.8,Low,High School,Low,Yes,Low,38.92
94,41,6.1,Low,High School,Low,Yes,Low,38.99
53,84,29.7,Middle,No High School,Low,No,Low,46.53
65,64,46.8,Low,No High School,Medium,Yes,Low,45.42
73,78,43.8,Low,High School,Medium,No,Medium,58.72
65,48,13.9,Low,High School,Low,No,High,42.31
51,93,42.6,Low,High School,Low,Yes,Medium,43.24
98,61,0.0,Low,No High School,Medium,No,Low,68.8
77,82,0.9,Low,Postgraduate,Medium,Yes,Low,55.81
81,85,30.1,Low,No High School,Medium,No,Low,70.29
76,43,18.2,Low,High School,Medium,No,Low,48.18
69,65,19.3,Middle,High School,Low,No,Medium,39.77
73,97,28.2,Low,High School,Low,No,Medium,62.88
61,68,9.6,Middle,No High School,Low,No,Low,44.54
99,84,10.6,Low,High School,High,No,Low,72.24
84,73,24.2,Low,Bachelor's,Medium,No,Low,61.98
82,62,37.7,Middle,No High School,Medium,No,Low,50.63
82,76,31.0,Low,No High School,Low,No,Medium,61.9
100,50,14.9,Middle,No High School,Medium,Yes,Low,43.51
92,45,21.5,Middle,Bachelor's,Low,No,Medium,38.45
86,57,8.5,Low,No High School,Low,No,Medium,57.75
61,60,3.7,Middle,Postgraduate,Low,No,High,36.93
52,81,39.1,Middle,High School,Medium,No,High,44.09
50,75,13.3,Low,Postgraduate,Low,No,Medium,48.67
82,80,8.9,Low,Postgraduate,Medium,No,Low,65.71
89,77,34.6,Low,High School,Low,No,Medium,59.04
59,73,30.9,Middle,No High School,Medium,Yes,Medium,38.81
92,56,31.7,Middle,No High School,Medium,Yes,Low,41.83
93,76,11.4,High,No High School,Low,No,Medium,57.16
78,64,11.6,Middle,Bachelor's,Medium,No,High,47.84
62,77,11.0,Low,No High School,Medium,No,Medium,63.3
61,97,8.7,Low,No High School,Medium,No,Low,71.23
80,51,32.8,Middle,High School,Medium,No,Low,41.12
95,62,42.4,Low,Postgraduate,Medium,No,Medium,59.06
51,92,36.2,High,No High School,Low,No,Low,48.48
100,81,39.6,Low,No High School,Medium,No,Medium,73.44
99,61,20.2,Low,No High School,Low,No,Medium,62.08
84,60,32.7,Middle,Postgraduate,Low,No,Low,40.93
72,66,17.7,Middle,High School,Low,No,High,41.23
66,96,26.3,Low,No High School,Medium,No,Medium,70.57
75,70,24.1,Middle,No High School,Medium,No,Low,53.09
57,45,8.8,Low,No High School,Low,No,Medium,44.22
78,66,19.4,Middle,No High School,Medium,No,Medium,52.86
75,79,48.2,Middle,Postgraduate,High,No,Medium,49.28
59,73,12.4,Middle,Bachelor's,Low,No,High,40.66
75,51,6.7,Middle,High School,Low,No,Medium,37.23
83,84,20.9,Low,Bachelor's,Medium,No,High,66.41
100,96,39.5,Low,No High School,Low,No,Medium,74.45
90,92,29.1,High,Bachelor's,Medium,No,Medium,60.89
56,46,34.0,Low,Bachelor's,Low,No,High,36.8
53,49,9.5,High,No High School,Low,No,Medium,34.55
99,84,30.9,Low,Bachelor's,Medium,Yes,Low,60.21
94,56,16.2,Middle,No High School,Medium,No,Medium,53.98
60,65,41.7,Middle,No High School,Medium,No,Medium,44.83
78,60,31.5,High,No High School,Medium,Yes,Low,39.25
85,67,9.9,Low,High School,Medium,Yes,High,51.31
74,97,3.2,Middle,Bachelor's,Medium,No,Low,60.68
70,85,2.1,Low,Postgraduate,Low,No,Low,59.79
85,41,18.6,Low,High School,Medium,No,High,50.04
59,99,13.3,Middle,Bachelor's,Low,No,Medium,50.97
86,93,32.3,Middle,Bachelor's,Medium,No,Low,59.77
58,82,25.0,High,No High School,Low,No,Medium,47.7
73,40,13.3,Low,High School,Medium,No,Medium,46.57
84,90,7.5,Low,No High School,Low,Yes,Low,60.45
98,92,6.4,Low,High School,Medium,Yes,High,65.56
84,75,43.2,Low,Postgraduate,Medium,No,Medium,60.88
97,90,12.2,Low,No High School,Low,No,Medium,73.88
85,65,32.6,Middle,Bachelor's,Medium,No,Medium,48.24
67,68,40.5,Low,High School,Low,Yes,Medium,38.25
98,60,30.7,High,High School,Medium,No,Low,50.33
88,50,43.0,High,No High School,Medium,No,Low,47.1
81,79,19.6,Middle,No High School,Low,No,Medium,53.94
73,50,47.8,High,No High School,High,No,High,42.12
72,75,6.7,Middle,No High School,Low,No,Low,50.93
81,88,5.1,Low,No High School,Low,Yes,Medium,58.99
86,98,32.9,Low,High School,High,No,High,71.71
61,78,47.1,Low,No High School,Low,No,Low,54.79
98,79,40.4,Low,Bachelor's,High,No,Low,66.96
62,74,3.8,Middle,High School,High,No,Low,47.82
72,93,14.0,Low,High School,Low,Yes,Medium,52.4
74,73,46.5,Middle,High School,Medium,Yes,Low,36.75
84,94,12.7,Middle,High School,Low,Yes,Medium,46.53
90,86,39.1,Low,Postgraduate,Low,Yes,Medium,52.49
79,63,41.3,High,No High School,Low,No,Medium,44.77
66,93,24.8,Low,No High School,Low,No,Low,64.52
98,61,19.3,Low,Bachelor's,Low,No,Medium,56.87
69,44,22.5,Middle,No High School,Low,Yes,Medium,26.05
97,95,11.3,Low,No High School,High,No,High,80.97
74,72,44.5,Middle,No High School,Medium,No,High,51.55
71,97,22.5,Low,No High School,Medium,Yes,Medium,62.85
62,75,44.1,Low,High School,Medium,No,Medium,54.19
68,86,5.3,High,No High School,Medium,No,Low,59.27
98,59,49.4,Low,Bachelor's,Low,No,Low,53.06
85,58,22.2,Low,Bachelor's,Medium,No,Low,56.48
61,74,2.4,Low,High School,High,No,Medium,57.66
90,91,1.9,High,High School,Low,Yes,Low,48.21
68,82,37.3,Low,Bachelor's,Medium,No,Low,59.47
61,56,33.0,Low,No High School,Medium,Yes,High,42.4
58,98,40.1,Low,Bachelor's,High,No,Low,62.59
56,84,5.3,Low,Bachelor's,Medium,No,Low,59.87
77,82,1.8,Middle,Bachelor's,Low,Yes,Low,40.72
63,73,25.4,Middle,High School,Low,No,Medium,40.56
80,48,19.4,Low,No High School,Low,No,Medium,51.26
68,65,23.1,Middle,High School,Medium,Yes,Low,34.09
96,41,49.6,Low,Bachelor's,Low,No,Medium,45.24
65,92,48.5,High,No High School,Medium,No,Medium,56.45
54,48,47.1,High,Bachelor's,Low,No,High,25.69
84,48,39.2,Low,No High School,Low,No,High,50.48
61,79,17.7,Middle,No High School,Low,No,High,48.13
74,56,20.6,Middle,No High School,Medium,No,Medium,47.54
70,40,27.5,Low,No High School,Low,Yes,Low,34.25
85,64,41.5,Low,High School,Low,Yes,Low,41.95
72,100,3.4,Low,No High School,Low,No,Low,71.26
65,82,21.2,Middle,Postgraduate,Low,No,Medium,45.18
88,79,4.1,High,High School,Low,No,High,52.59
94,81,25.7,Middle,No High School,Medium,No,Medium,63.03
91,64,44.9,Middle,High School,Medium,No,Low,48.41
88,78,39.1,Middle,Bachelor's,Low,Yes,Medium,38.69
63,74,11.4,Middle,Bachelor's,Medium,Yes,High,37.36
80,42,48.8,Middle,No High School,High,No,Medium,40.92
54,89,33.4,Low,Bachelor's,Medium,No,High,58.46
84,76,0.5,Low,Bachelor's,Medium,No,High,65.55
72,83,12.8,Middle,No High School,Medium,No,High,58.52
78,83,13.0,Low,No High School,High,No,Medium,70.3
92,90,3.5,Middle,High School,Medium,Yes,Medium,53.25
60,69,48.0,Low,No High School,Low,No,Low,50.8
67,77,23.9,Low,Bachelor's,Medium,Yes,Low,48.51
96,73,44.8,Middle,No High School,Medium,No,Medium,58.52
61,51,16.1,Low,Postgraduate,Low,No,Low,42.09
58,58,6.3,Low,High School,Low,No,High,44.97
59,76,23.7,Low,No High School,Medium,No,Low,60.73
93,83,5.7,Middle,No High School,Medium,No,High,65.53
66,98,24.3,Low,High School,Low,No,Low,61.57
87,98,46.0,High,Bachelor's,Medium,Yes,Low,50.7
56,88,26.0,Low,Bachelor's,Low,No,High,54.4
95,100,30.8,High,No High School,Low,No,Low,65.42
62,56,7.8,High,No High School,Medium,Yes,Low,35.22
89,49,2.2,Low,No High School,Low,Yes,Low,46.08
91,96,5.5,Low,High School,Low,Yes,Medium,60.15
58,94,29.9,Low,No High School,High,No,Low,67.01
99,88,4.8,Middle,High School,Low,Yes,Medium,49.42
76,86,18.8,Low,High School,Low,No,Medium,60.32
51,51,27.5,Low,Postgraduate,High,No,Medium,42.95
54,55,19.4,Low,No High School,Medium,No,Medium,51.26
78,63,8.2,Low,No High School,Medium,No,Medium,62.78
86,58,13.7,Low,High School,Medium,No,Low,57.63
87,47,46.4,Middle,High School,Low,No,High,35.26
68,70,33.8,High,No High School,Medium,No,Low,50.02
57,60,24.8,Low,Postgraduate,Medium,No,Medium,48.62
97,56,0.6,Low,Bachelor's,Medium,No,Medium,61.44
94,62,49.6,Low,No High School,Medium,Yes,High,53.04
50,76,33.6,Middle,No High School,Medium,Yes,Medium,37.04
71,93,15.8,High,High School,Low,No,Low,51.92
66,55,44.0,Middle,Bachelor's,Low,Yes,Medium,22.4
56,45,12.9,High,No High School,Medium,No,Medium,38.51
74,47,27.2,Low,High School,Medium,No,Low,48.28
94,64,31.8,Middle,High School,Medium,No,Medium,50.62
53,57,11.1,Middle,No High School,Low,No,Medium,37.59
85,64,48.9,Low,High School,Medium,Yes,High,46.21
55,51,37.4,High,Postgraduate,Medium,No,Medium,33.16
80,54,27.9,Low,No High School,Medium,No,Low,57.81
68,98,9.0,Middle,No High School,Medium,No,Low,63.7
93,65,2.7,Low,High School,High,No,High,63.63
88,80,16.0,Low,Bachelor's,Medium,Yes,High,56.8
76,84,37.7,Middle,Postgraduate,Medium,Yes,Low,42.63
59,65,13.5,Low,High School,Medium,No,Low,52.35
75,86,27.0,Low,Bachelor's,High,Yes,Medium,54.2
68,71,36.4,Low,High School,Medium,No,Low,55.16
88,49,5.4,Middle,High School,Medium,Yes,Low,35.46
52,55,34.3,Low,No High School,Medium,No,Low,49.17
94,46,4.6,Low,No High School,Medium,No,Low,61.14
62,56,48.3,High,No High School,Low,No,Medium,36.17
99,62,24.4,Middle,High School,Low,No,Medium,47.06
77,65,7.5,Low,No High School,High,No,Low,63.35
69,60,17.1,Middle,Postgraduate,Medium,No,Low,42.99
77,61,20.7,Middle,No High School,Medium,No,Low,50.43
57,97,37.9,Middle,No High School,High,Yes,Medium,47.11
90,46,37.2,Low,High School,Medium,No,Low,51.68
88,53,30.6,Low,Bachelor's,Medium,No,Medium,54.54
50,54,5.3,Low,No High School,Medium,No,Medium,51.07
52,92,7.6,Low,No High School,Medium,Yes,Low,56.64
62,46,4.7,Low,Postgraduate,Low,No,Low,41.53
77,48,28.9,Low,No High School,Low,Yes,Low,39.41
98,90,43.9,Middle,No High School,Low,Yes,Medium,51.01
74,87,21.7,Low,Bachelor's,Low,No,High,59.83
82,47,8.0,Low,No High School,Medium,No,Low,57.6
87,89,27.9,Middle,High School,Low,No,High,53.91
55,98,40.6,Low,No High School,Low,No,Low,61.64
93,62,37.1,Low,No High School,Low,Yes,High,48.99
94,68,44.1,Middle,No High School,Low,Yes,Medium,40.99
81,57,13.9,Low,No High School,Medium,No,Medium,60.71
94,70,9.7,Middle,No High School,Medium,No,Medium,60.23
96,69,44.0,Middle,No High School,Medium,Yes,Medium,47.0
70,91,32.9,Low,Bachelor's,Low,No,High,59.11
65,78,15.5,Middle,No High School,Low,No,Medium,49.15
70,74,37.1,Low,High School,Low,No,Medium,51.89
60,57,40.8,Low,Bachelor's,Medium,No,Low,46.72
86,98,30.7,Low,High School,Low,Yes,Low,56.93
85,81,34.4,Low,No High School,Medium,No,High,69.46
84,78,18.8,High,Postgraduate,Low,No,Medium,49.52
68,56,26.9,Low,No High School,Medium,Yes,Medium,45.11
69,53,26.2,Low,No High School,Low,No,Medium,49.28
67,70,42.4,Low,Bachelor's,Low,Yes,High,38.86
96,63,42.0,Low,High School,Medium,No,Medium,59.8
90,74,41.6,Low,High School,Low,No,Medium,57.44
98,83,0.6,Low,No High School,Low,Yes,Medium,62.54
63,99,37.5,Middle,High School,Medium,No,Low,54.75
64,84,37.9,Low,No High School,Medium,No,Low,64.01
80,73,33.9,Low,Postgraduate,Medium,No,High,59.81
50,42,37.8,Low,No High School,Low,No,Low,38.02
52,76,42.1,Low,Bachelor's,Low,No,High,46.79
65,82,23.5,Middle,High School,Low,Yes,Low,34.95
72,79,25.1,Low,Bachelor's,Low,Yes,Low,45.69
60,65,6.2,Low,Bachelor's,Medium,Yes,High,43.38
61,94,19.3,Low,High School,Medium,No,Medium,63.97
59,62,32.2,Middle,No High School,Low,No,Low,39.28
81,83,39.0,Middle,No High School,Medium,No,Medium,58.6
65,78,10.9,Low,No High School,Low,Yes,Medium,49.61
57,54,6.9,Middle,Bachelor's,Medium,No,Medium,38.01
87,95,33.2,Middle,Bachelor's,Low,No,Low,55.78
61,88,0.1,Middle,High School,Low,Yes,High,38.49
73,43,8.9,Middle,No High School,Medium,No,High,43.21
77,68,1.5,Low,No High School,Medium,No,Low,65.15
57,61,8.3,Low,High School,Medium,Yes,High,40.67
77,64,9.1,Low,High School,Low,Yes,High,42.79
85,52,19.4,Low,Bachelor's,Low,No,Medium,49.36
75,57,20.1,High,Postgraduate,Low,No,Medium,38.29
57,72,43.7,Low,No High School,Low,Yes,Low,41.53
99,55,25.5,Low,High School,Medium,No,Low,59.15
77,84,36.2,Middle,High School,Low,No,Medium,48.08
77,81,5.2,Low,No High School,Low,No,High,64.98
86,83,11.3,Low,No High School,Medium,No,Medium,72.87
90,41,35.1,Low,No High School,Low,No,Medium,49.89
85,94,2.6,Low,Bachelor's,Medium,No,Low,72.84
76,74,24.3,Middle,High School,Medium,No,Low,49.97
66,81,30.0,Low,High School,Low,No,Medium,54.2
58,73,30.1,Low,Postgraduate,High,Yes,Low,43.59
82,69,1.1,Low,Bachelor's,Medium,Yes,Medium,52.09
69,98,16.1,Low,No High School,Low,Yes,Low,58.29
62,94,31.8,Middle,High School,Low,No,Medium,48.02
77,52,7.4,Low,High School,Low,No,Low,48.16
97,52,34.8,Low,Bachelor's,Medium,No,Medium,56.42
78,57,37.3,High,Bachelor's,Medium,Yes,Medium,32.47
62,71,49.1,Middle,High School,Medium,No,Low,42.09
95,71,10.5,Low,No High School,High,No,Low,70.85
84,74,41.3,Low,Bachelor's,Medium,Yes,Low,50.67
55,98,26.0,Middle,No High School,Medium,No,High,58.1
67,78,18.7,Middle,No High School,Low,No,Low,49.43
100,85,6.1,Low,No High School,Medium,Yes,Medium,68.39
54,91,36.8,High,No High School,Low,Yes,High,38.92
96,68,11.8,Low,No High School,Medium,No,Medium,69.82
74,88,18.6,Low,Bachelor's,Low,Yes,Low,50.54
51,68,3.1,Low,Postgraduate,Low,No,High,47.19
59,92,40.1,Low,No High School,Low,Yes,Low,50.49
79,83,38.3,Middle,No High School,Low,No,Medium,53.07
99,96,36.7,Low,No High School,Medium,No,High,79.43
94,55,15.0,Low,No High School,Low,No,Medium,58.7
54,95,8.7,Middle,No High School,Medium,Yes,Medium,48.33
82,83,31.9,Low,Postgraduate,Low,No,Low,59.61
50,86,24.8,Low,No High School,Medium,No,Low,61.92
67,96,8.9,Low,High School,Low,No,Medium,62.61
81,49,34.3,Low,No High School,Low,Yes,Low,40.47
96,69,49.6,Low,Bachelor's,Medium,No,High,61.44
98,64,37.4,Middle,Bachelor's,Low,No,High,46.26
60,78,37.0,Low,Postgraduate,Low,No,High,50.5
70,59,47.5,Low,Bachelor's,Low,No,Medium,44.85
75,44,10.1,Middle,No High School,Low,No,Medium,39.09
74,40,28.3,Middle,No High School,Medium,No,High,40.37
71,69,49.0,Low,High School,Low,No,High,49.0
76,88,8.3,Low,No High School,Medium,No,Medium,72.17
98,42,35.0,Low,High School,Medium,Yes,Low,42.7
62,84,29.3,Low,No High School,Low,No,Low,59.27
82,53,29.3,Low,No High School,High,No,Medium,57.87
83,95,34.9,Low,High School,Medium,Yes,Medium,59.41
90,69,46.5,High,High School,Medium,No,High,49.95
84,89,39.1,Low,Bachelor's,Medium,Yes,Low,56.89
50,43,2.8,Middle,No High School,Medium,No,Low,36.92
70,57,42.6,Low,High School,Medium,No,Low,49.54
97,76,11.3,Middle,No High School,Low,No,Low,58.37
55,64,18.8,Middle,No High School,Low,Yes,Low,30.22
77,87,23.1,Middle,High School,Low,No,Medium,50.59
66,40,24.0,Low,No High School,Low,No,Medium,43.4
54,92,21.8,Low,No High School,Low,Yes,Medium,50.82
80,85,46.9,Low,No High School,Low,No,Low,63.31
54,54,35.3,Middle,No High School,Low,No,Low,34.27
87,48,31.6,Low,No High School,Medium,No,Medium,57.14
52,54,2.5,Low,No High School,Medium,Yes,High,41.95
72,88,45.2,Low,No High School,High,No,Low,67.28
86,96,45.5,Low,No High School,Low,No,High,69.65
86,63,39.0,Low,High School,Medium,No,Low,57.1
59,43,0.4,Low,No High School,Medium,No,High,49.86
59,51,2.9,High,No High School,Low,Yes,High,27.81
68,98,11.3,Middle,No High School,Low,Yes,Low,48.47
66,97,6.6,High,High School,High,Yes,Medium,47.94
70,76,19.9,Low,Bachelor's,Medium,Yes,Low,49.41
63,100,46.1,Middle,Bachelor's,Low,No,High,49.29
58,76,23.6,Middle,Bachelor's,Low,No,Medium,40.44
95,82,0.7,Middle,High School,Low,Yes,Medium,46.23
50,99,14.1,Middle,High School,Medium,No,Medium,53.19
100,45,2.2,Low,High School,Medium,No,High,57.78
94,78,1.8,Middle,No High School,Low,Yes,Low,49.22
62,95,13.8,Low,No High School,Low,No,Medium,65.22
53,85,13.8,Low,No High School,Medium,Yes,Low,53.52
50,63,39.4,Low,Postgraduate,Medium,No,Low,46.26
98,50,48.7,High,High School,Low,No,Medium,39.53
89,52,18.6,Middle,Bachelor's,Medium,No,Low,45.64
81,73,21.4,High,No High School,Low,No,Low,51.36
83,64,42.2,Middle,High School,Low,Yes,High,31.28
77,46,13.4,Low,No High School,Medium,No,Low,55.16
80,91,7.8,Low,No High School,Low,No,Medium,69.62
57,43,42.7,Low,Bachelor's,Medium,No,Low,40.03
88,98,2.3,Low,High School,Medium,No,Low,75.37
75,47,31.0,Low,No High School,Medium,No,Low,53.2
83,59,28.1,Low,Bachelor's,Low,Yes,Medium,40.69
52,68,17.3,Low,No High School,Low,No,Medium,51.07
99,93,15.8,High,Postgraduate,Low,Yes,Low,50.32
61,92,38.6,Low,No High School,Medium,Yes,Low,56.24
50,90,4.3,Middle,No High School,Medium,No,High,55.57
93,84,11.8,Middle,No High School,Medium,No,Low,65.32
54,85,36.6,Low,No High School,Medium,Yes,High,51.54
79,49,27.4,Low,No High School,High,No,Low,55.56
79,82,6.4,Low,High School,Medium,No,Medium,65.86
66,73,44.1,Low,Bachelor's,Low,No,Low,49.59
97,96,19.7,Middle,Bachelor's,Low,Yes,High,50.53
96,65,41.4,Low,No High School,Medium,Yes,Medium,55.66
72,80,39.4,Low,High School,Low,Yes,Medium,44.66
64,88,31.2,Low,No High School,Low,No,Low,61.28
86,97,24.7,High,No High School,Medium,No,Medium,67.13
70,42,49.0,Middle,High School,Medium,No,Medium,32.9
63,95,7.2,Middle,High School,Low,No,Low,51.18
51,45,36.3,Low,No High School,Medium,No,Low,44.67
60,44,9.6,Middle,No High School,Medium,Yes,High,29.64
100,44,16.9,Middle,Postgraduate,Low,Yes,Low,30.91
88,93,15.4,Middle,No High School,Low,No,Medium,62.06
87,86,47.4,High,High School,Low,No,Medium,50.76
83,62,48.4,Low,High School,Medium,No,High,54.86
87,88,9.2,High,No High School,Medium,No,High,65.38
99,48,1.1,High,No High School,Medium,Yes,High,43.79
83,74,36.0,Low,No High School,Medium,Yes,Low,55.9
67,59,20.9,Low,Bachelor's,Low,No,High,46.61
79,97,4.4,High,High School,Low,No,Low,57.06
64,88,34.2,Low,High School,Medium,No,Medium,60.98
76,100,27.3,Low,Postgraduate,Low,No,Medium,65.07
100,98,49.0,High,Bachelor's,Low,No,Low,59.3
83,81,11.4,Low,High School,Low,No,High,61.16
87,74,20.2,Low,High School,Low,No,Low,58.68
82,89,27.1,Low,High School,Low,Yes,Medium,52.49
73,57,39.6,Low,High School,Low,No,Medium,45.74
64,56,27.4,Low,High School,Low,No,Medium,43.86
79,63,30.6,Low,High School,Low,No,Low,50.84
91,42,11.3,Middle,No High School,Medium,No,Medium,47.97
100,71,42.3,Low,High School,Medium,No,High,64.17
66,74,21.4,Middle,No High School,Low,No,Low,47.26
54,77,7.0,Middle,No High School,Medium,No,Medium,51.3
78,52,33.2,Low,No High School,Low,No,Low,50.88
53,95,10.8,Middle,High School,Medium,Yes,Medium,42.82
59,100,4.9,Low,High School,Medium,No,High,67.21
66,86,43.1,Low,No High School,Medium,Yes,Medium,54.89
59,64,23.0,Low,High School,Medium,No,Medium,51.0
66,48,37.5,High,High School,Low,No,Medium,30.25
69,43,14.5,Low,No High School,Low,No,Medium,46.45
73,53,39.3,Low,High School,Medium,No,Low,49.17
54,76,5.6,Middle,Bachelor's,Low,Yes,Low,31.04
83,73,17.8,Low,Bachelor's,Low,Yes,Medium,47.32
55,50,48.9,Low,High School,Medium,Yes,Medium,31.61
51,80,39.7,Low,High School,Medium,Yes,Medium,43.33
62,95,24.9,Middle,No High School,Medium,No,Low,59.11
92,42,17.0,Middle,No High School,Low,No,Low,42.7
92,98,43.6,Low,No High School,Medium,No,Low,77.44
97,67,27.2,Low,Postgraduate,Low,Yes,High,48.18
60,68,37.9,Low,No High School,Low,Yes,Medium,41.41
100,48,37.7,Middle,No High School,Medium,No,Low,50.43
96,42,0.9,Low,Bachelor's,Low,Yes,Low,40.51
72,64,6.3,Low,Postgraduate,Low,No,High,51.57
65,73,33.0,Low,Bachelor's,Medium,No,Low,55.4
80,51,8.1,Low,No High School,Low,No,High,53.59
60,81,12.8,Low,No High School,Low,No,Low,59.12
65,48,47.3,Low,No High School,Low,Yes,High,33.97
57,54,28.0,Low,No High School,Low,No,High,45.9
53,79,37.5,Middle,No High School,Low,No,Medium,43.75
89,64,27.9,Low,High School,Medium,No,Low,59.51
53,44,27.6,High,Postgraduate,Medium,No,Low,30.74
74,50,4.7,Low,No High School,Low,No,Medium,51.73
52,98,17.2,Middle,High School,Medium,No,Medium,53.08
81,73,14.1,Middle,High School,Low,No,Low,47.09
52,63,19.5,Low,No High School,Low,No,Low,48.85
76,99,39.9,Low,High School,Medium,No,Medium,68.41
78,54,18.6,Middle,No High School,Low,Yes,Medium,33.14
81,77,22.6,Low,No High School,High,No,Low,67.84
99,47,19.9,High,Bachelor's,Low,No,Low,41.51
100,98,4.7,Low,No High School,Medium,No,High,83.73
68,44,22.1,High,Postgraduate,Low,No,Medium,30.79
70,87,9.8,Low,No High School,Low,No,Medium,64.82
54,65,9.3,Middle,High School,Low,Yes,Medium,26.27
67,57,4.7,Middle,High School,Medium,Yes,Low,32.43
77,45,17.8,Middle,No High School,Medium,Yes,Low,34.32
91,76,37.9,Low,No High School,High,No,Low,68.91
71,99,13.8,Middle,High School,Low,No,High,54.52
70,87,15.6,Low,Bachelor's,Low,Yes,Medium,49.24
55,52,32.1,Middle,Bachelor's,Low,No,Low,29.09
50,67,9.8,Low,High School,Medium,No,High,50.82
54,44,44.8,Middle,Bachelor's,Medium,Yes,Low,19.32
90,52,26.0,Low,High School,Low,No,High,50.2
61,56,22.4,Middle,Bachelor's,Medium,No,High,38.46
75,89,27.9,Middle,High School,Low,No,Low,50.31
95,79,8.3,Middle,High School,Medium,No,Low,59.27
83,84,30.7,Low,Bachelor's,Medium,No,Medium,65.43
98,71,18.2,Low,No High School,Low,No,Medium,65.98
63,68,44.9,High,Bachelor's,Low,No,Medium,36.61
75,90,8.4,Low,High School,High,No,High,67.66
94,97,25.4,Low,No High School,Medium,No,Medium,79.46
76,42,29.9,Middle,No High School,Medium,Yes,Low,31.61
58,95,1.7,Middle,No High School,Medium,No,Low,60.23
75,79,18.2,Low,High School,Low,No,Medium,57.28
96,73,36.6,Middle,Bachelor's,Medium,No,Low,54.34
71,79,41.0,Middle,No High School,Medium,Yes,Medium,43.8
96,66,15.7,Low,Bachelor's,Medium,No,Low,63.63
79,52,39.9,High,Bachelor's,Low,No,Low,35.51
92,84,48.4,Low,No High School,Low,No,Low,66.36
97,72,42.8,Low,Bachelor's,Low,Yes,Medium,48.62
66,45,5.9,Low,Postgraduate,Low,No,Low,42.21
75,63,37.0,Low,Bachelor's,Low,No,Medium,49.0
85,58,16.0,High,Bachelor's,Low,No,Medium,42.1
50,55,49.4,Low,Postgraduate,Low,No,Medium,37.06
57,79,24.3,Low,High School,Low,Yes,Medium,41.27
98,67,6.1,Low,No High School,Medium,Yes,Low,60.59
84,72,36.3,Low,Bachelor's,Low,No,Medium,55.37
64,98,16.2,Low,High School,Low,Yes,Low,51.78
96,98,49.9,Low,High School,Low,No,Medium,68.01
71,87,49.0,Low,No High School,Low,No,Low,61.2
